date,topic,
2024-01-01,nothing,
2024-01-02,nothing,
2024-01-03,nothing,
2024-01-04,nothing,
2024-01-05,only_immersion,
2024-01-06,nothing,
2024-01-07,nothing,
2024-01-08,nothing,
2024-01-09,nothing,
2024-01-10,nothing,
2024-01-11,nothing,
2024-01-12,nothing,
2024-01-13,nothing,
2024-01-14,nothing,
2024-01-15,nothing,
2024-01-16,nothing,
2024-01-17,nothing,
2024-01-18,only_immersion,
2024-01-19,only_immersion,
2024-01-20,nothing,
2024-01-21,nothing,
2024-01-22,nothing,
2024-01-23,nothing,
2024-01-24,nothing,
2024-01-25,nothing,
2024-01-26,nothing,
2024-01-27,nothing,
2024-01-28,nothing,
2024-01-29,study_immersion,
2024-01-30,nothing,
2024-01-31,only_immersion,
2024-02-01,only_immersion,
2024-02-02,only_immersion,
2024-02-03,only_study,
2024-02-04,study_immersion,
2024-02-05,only_study,
2024-02-06,only_immersion,
2024-02-07,only_study,
2024-02-08,nothing,
2024-02-09,nothing,
2024-02-10,nothing,
2024-02-11,nothing,
2024-02-12,nothing,
2024-02-13,nothing,
2024-02-14,nothing,
2024-02-15,nothing,
2024-02-16,nothing,
2024-02-17,nothing,
2024-02-18,nothing,
2024-02-19,nothing,
2024-02-20,nothing,
2024-02-21,only_study,
2024-02-22,nothing,
2024-02-23,nothing,
2024-02-24,only_study,
2024-02-25,nothing,
2024-02-26,nothing,
2024-02-27,nothing,
2024-02-28,nothing,
2024-02-29,nothing,
2024-03-01,nothing,
2024-03-02,nothing,
2024-03-03,nothing,
2024-03-04,nothing,
2024-03-05,nothing,
2024-03-06,nothing,
2024-03-07,nothing,
2024-03-08,nothing,
2024-03-09,nothing,
2024-03-10,nothing,
2024-03-11,nothing,
2024-03-12,nothing,
2024-03-13,nothing,
2024-03-14,nothing,
2024-03-15,nothing,
2024-03-16,nothing,
2024-03-17,nothing,
2024-03-18,nothing,
2024-03-19,nothing,
2024-03-20,nothing,
2024-03-21,nothing,
2024-03-22,nothing,
2024-03-23,nothing,
2024-03-24,nothing,
2024-03-25,nothing,
2024-03-26,nothing,
2024-03-27,nothing,
2024-03-28,nothing,
2024-03-29,nothing,
2024-03-30,nothing,
2024-03-31,nothing,
2024-04-01,nothing,
2024-04-02,nothing,
2024-04-03,nothing,
2024-04-04,nothing,
2024-04-05,nothing,
2024-04-06,nothing,
2024-04-07,nothing,
2024-04-08,nothing,
2024-04-09,nothing,
2024-04-10,nothing,
2024-04-11,nothing,
2024-04-12,nothing,
2024-04-13,nothing,
2024-04-14,nothing,
2024-04-15,nothing,
2024-04-16,nothing,
2024-04-17,nothing,
2024-04-18,nothing,
2024-04-19,nothing,
2024-04-20,nothing,
2024-04-21,nothing,
2024-04-22,nothing,
2024-04-23,nothing,
2024-04-24,nothing,
2024-04-25,nothing,
2024-04-26,nothing,
2024-04-27,nothing,
2024-04-28,nothing,
2024-04-29,nothing,
2024-04-30,nothing,
2024-05-01,nothing,
2024-05-02,nothing,
2024-05-03,nothing,
2024-05-04,nothing,
2024-05-05,nothing,
2024-05-06,nothing,
2024-05-07,nothing,
2024-05-08,nothing,
2024-05-09,nothing,
2024-05-10,nothing,
2024-05-11,nothing,
2024-05-12,nothing,
2024-05-13,nothing,
2024-05-14,nothing,
2024-05-15,nothing,
2024-05-16,nothing,
2024-05-17,nothing,
2024-05-18,nothing,
2024-05-19,nothing,
2024-05-20,nothing,
2024-05-21,nothing,
2024-05-22,nothing,
2024-05-23,nothing,
2024-05-24,nothing,
2024-05-25,nothing,
2024-05-26,nothing,
2024-05-27,nothing,
2024-05-28,nothing,
2024-05-29,nothing,
2024-05-30,nothing,
2024-05-31,nothing,
2024-06-01,nothing,
2024-06-02,nothing,
2024-06-03,nothing,
2024-06-04,nothing,
2024-06-05,nothing,
2024-06-06,nothing,
2024-06-07,nothing,
2024-06-08,nothing,
2024-06-09,nothing,
2024-06-10,nothing,
2024-06-11,nothing,
2024-06-12,nothing,
2024-06-13,nothing,
2024-06-14,nothing,
2024-06-15,nothing,
2024-06-16,nothing,
2024-06-17,nothing,
2024-06-18,nothing,
2024-06-19,nothing,
2024-06-20,nothing,
2024-06-21,nothing,
2024-06-22,nothing,
2024-06-23,nothing,
2024-06-24,nothing,
2024-06-25,nothing,
