date,spoiler,
2024-01-01,0,
2024-01-02,1,
2024-01-03,0,
2024-01-04,1,
2024-01-05,0,
2024-01-06,0,
2024-01-07,0,
2024-01-08,1,
2024-01-09,0,
2024-01-10,0,
2024-01-11,0,
2024-01-12,0,
2024-01-13,0,
2024-01-14,0,
2024-01-15,0,
2024-01-16,1,
2024-01-17,1,
2024-01-18,1,
2024-01-19,0,
2024-01-20,1,
2024-01-21,0,
2024-01-22,0,
2024-01-23,1,
2024-01-24,0,
2024-01-25,0,
2024-01-26,0,
2024-01-27,0,
2024-01-28,1,
2024-01-29,0,
2024-01-30,0,
2024-01-31,0,
2024-02-01,1,
2024-02-02,0,
2024-02-03,1,
2024-02-04,0,
2024-02-05,0,
2024-02-06,0,
2024-02-07,0,
2024-02-08,0,
2024-02-09,1,
2024-02-10,0,
2024-02-11,0,
2024-02-12,0,
2024-02-13,0,
2024-02-14,0,
2024-02-15,1,
2024-02-16,0,
2024-02-17,1,
2024-02-18,0,
2024-02-19,0,
2024-02-20,0,
2024-02-21,1,
2024-02-22,0,
2024-02-23,0,
2024-02-24,1,
2024-02-25,0,
2024-02-26,0,
2024-02-27,0,
2024-02-28,0,
2024-02-29,0,
2024-03-01,0,
2024-03-02,1,
2024-03-03,1,
2024-03-04,1,
2024-03-05,0,
2024-03-06,0,
2024-03-07,1,
2024-03-08,0,
2024-03-09,1,
2024-03-10,0,
2024-03-11,0,
2024-03-12,0,
2024-03-13,0,
2024-03-14,1,
2024-03-15,1,
2024-03-16,0,
2024-03-17,1,
2024-03-18,0,
2024-03-19,0,
2024-03-20,1,
2024-03-21,0,
2024-03-22,0,
2024-03-23,0,
2024-03-24,0,
2024-03-25,1,
2024-03-26,1,
2024-03-27,0,
2024-03-28,1,
2024-03-29,1,
2024-03-30,0,
2024-03-31,1,
2024-04-01,0,
2024-04-02,0,
2024-04-03,1,
2024-04-04,0,
2024-04-05,0,
2024-04-06,0,
2024-04-07,1,
2024-04-08,0,
2024-04-09,0,
2024-04-10,1,
2024-04-11,0,
2024-04-12,0,
2024-04-13,0,
2024-04-14,0,
2024-04-15,0,
2024-04-16,1,
2024-04-17,0,
2024-04-18,1,
2024-04-19,0,
2024-04-20,0,
2024-04-21,0,
2024-04-22,1,
2024-04-23,1,
2024-04-24,0,
2024-04-25,0,
2024-04-26,0,
2024-04-27,0,
2024-04-28,0,
2024-04-29,0,
2024-04-30,0,
2024-05-01,0,
2024-05-02,0,
2024-05-03,0,
2024-05-04,0,
2024-05-05,0,
2024-05-06,0,
2024-05-07,0,
2024-05-08,1,
2024-05-09,0,
2024-05-10,1,
2024-05-11,0,
2024-05-12,1,
2024-05-13,1,
2024-05-14,1,
2024-05-15,0,
2024-05-16,1,
2024-05-17,0,
2024-05-18,0,
2024-05-19,1,
2024-05-20,1,
2024-05-21,0,
2024-05-22,0,
2024-05-23,0,
2024-05-24,1,
2024-05-25,1,
2024-05-26,0,
2024-05-27,0,
2024-05-28,0,
2024-05-29,0,
2024-05-30,0,
2024-05-31,0,
2024-06-01,0,
2024-06-02,0,
2024-06-03,1,
2024-06-04,0,
2024-06-05,0,
2024-06-06,0,
2024-06-07,0,
2024-06-08,0,
2024-06-09,0,
2024-06-10,0,
2024-06-11,1,
2024-06-12,0,
2024-06-13,0,
2024-06-14,0,
2024-06-15,1,
2024-06-16,1,
2024-06-17,0,
